feature,importance
jupiter_sign_lon,0.09122867841767715
mars_sign_lon,0.07481367861199689
saturn_sign_lon,0.07388037526119344
sma_ratio_50_200,0.06897543147357722
volatility_14d,0.06759224355873455
sun_rahu_proximity,0.05143367975099182
venus_saturn_separation,0.047391201794957455
vs_sep_sin,0.04269483866330568
vs_sep_cos,0.042063126526038
venus_sign_lon,0.032957892298987254
mercury_sign_lon,0.029828944758395145
sun_sign_lon,0.028134289874189325
asc_rashi_num,0.02581533525012861
sun_rashi_num,0.022900063529851192
sun_rashi_num_cos,0.022895759314850817
aspect_sextile,0.02284976285106295
moon_nakshatra_num_cos,0.01984851732793324
moon_nakshatra_num,0.018911409861979398
sun_rashi_num_sin,0.017686206059671226
asc_rashi_num_sin,0.017181846345817053
asc_rashi_num_cos,0.016540646456803438
aspect_trine,0.01599784976563382
aspect_opposition,0.014669495656785832
above_sma_200,0.013445323637908038
moon_nakshatra_num_sin,0.0132008767253688
moon_rashi_num,0.012348906527913855
aspect_conjunction,0.012275114380178165
aspect_square,0.012001249027167754
retro_venus,0.011790966056750857
moon_rashi_num_cos,0.011615204115821544
moon_sign_lon,0.00918694823188221
moon_rashi_num_sin,0.00780464984829475
moon_sun_angle,0.007718534410836944
retro_mars,0.004983169739596165
retro_jupiter,0.004529634810862752
retro_saturn,0.004298384741753684
weekday_num,0.0033571770242262823
retro_mercury,0.00252644494459187
near_solar_eclipse,0.00197865401533872
moon_phase_Waxing_Crescent,0.00028795095395468156
moon_phase_New_Moon,0.00020861700922829827
near_lunar_eclipse,0.00015092038776317844
rahu_retro,0.0
ketu_retro,0.0
